0.007,1.011,0.038,-0.160,0.160,3326339
-0.017,-0.007,1.011,0.038,-0.160,0.160,3326345
-0.017,-0.007,1.012,0.114,-0.122,0.153,3326351
-0.018,-0.006,1.012,0.099,-0.153,0.183,3326357
-0.018,-0.006,1.012,0.099,-0.153,0.183,3326363
-0.018,-0.006,1.012,0.122,-0.168,0.099,3326369
-0.017,-0.006,1.011,0.137,-0.153,0.168,3326375
-0.017,-0.006,1.011,0.137,-0.153,0.168,3326384
-0.017,-0.006,1.012,0.069,-0.145,0.168,3326390
-0.017,-0.007,1.011,0.107,-0.153,0.244,3326396
-0.017,-0.007,1.011,0.107,-0.153,0.244,3326402
-0.016,-0.008,1.012,0.092,-0.183,0.168,3326408
-0.016,-0.008,1.012,0.122,-0.130,0.206,3326414
-0.016,-0.008,1.012,0.122,-0.130,0.206,3326420
-0.016,-0.008,1.011,0.069,-0.114,0.206,3326429
-0.018,-0.006,1.012,0.076,-0.168,0.175,3326435
-0.018,-0.006,1.012,0.076,-0.168,0.175,3326441
-0.017,-0.006,1.013,0.130,-0.076,0.153,3326447
-0.017,-0.006,1.013,0.130,-0.076,0.153,3326453
-0.017,-0.006,1.011,0.053,-0.160,0.160,3326459
-0.018,-0.007,1.010,0.099,-0.130,0.229,3326466
-0.018,-0.007,1.010,0.099,-0.130,0.229,3326472
-0.018,-0.007,1.012,0.069,-0.153,0.175,3326480
-0.017,-0.008,1.011,0.084,-0.191,0.191,3326486
-0.017,-0.008,1.011,0.084,-0.191,0.191,3326492
-0.017,-0.007,1.013,0.092,-0.145,0.198,3326498
-0.017,-0.007,1.011,0.114,-0.168,0.221,3326504
-0.017,-0.007,1.011,0.114,-0.168,0.221,3326511
-0.017,-0.007,1.012,0.092,-0.145,0.183,3326517
-0.016,-0.008,1.011,0.076,-0.130,0.160,3326525
-0.016,-0.008,1.011,0.076,-0.130,0.160,3326531
-0.017,-0.007,1.012,0.130,-0.160,0.206,3326537
-0.017,-0.007,1.012,0.130,-0.160,0.206,3326543
-0.017,-0.007,1.011,0.099,-0.168,0.206,3326550
-0.017,-0.006,1.012,0.122,-0.153,0.168,3326556
-0.017,-0.006,1.012,0.122,-0.153,0.168,3326562
-0.017,-0.007,1.012,0.084,-0.114,0.214,3326570
-0.018,-0.007,1.012,0.084,-0.145,0.206,3326576
-0.018,-0.007,1.012,0.084,-0.145,0.206,3326582
-0.017,-0.007,1.013,0.107,-0.168,0.160,3326588
-0.017,-0.007,1.012,0.084,-0.160,0.145,3326595
-0.017,-0.007,1.012,0.084,-0.160,0.145,3326601
-0.017,-0.008,1.012,0.092,-0.114,0.183,3326607
-0.017,-0.008,1.012,0.099,-0.122,0.252,3326613
-0.017,-0.008,1.012,0.099,-0.122,0.252,3326621
-0.017,-0.007,1.012,0.099,-0.175,0.198,3326627
-0.018,-0.007,1.012,0.137,-0.114,0.206,3326633
-0.018,-0.007,1.012,0.137,-0.114,0.206,3326640
-0.017,-0.006,1.012,0.114,-0.168,0.168,3326646
-0.017,-0.006,1.012,0.114,-0.168,0.168,3326652
-0.017,-0.006,1.012,0.046,-0.160,0.175,3326658
-0.017,-0.006,1.012,0.145,-0.168,0.198,3326666
-0.017,-0.006,1.012,0.145,-0.168,0.198,3326672
-0.016,-0.007,1.012,0.084,-0.183,0.183,3326679
-0.017,-0.008,1.012,0.076,-0.114,0.214,3326685
-0.017,-0.008,1.012,0.076,-0.114,0.214,3326691
-0.017,-0.007,1.012,0.137,-0.153,0.206,3326697
-0.018,-0.008,1.011,0.092,-0.153,0.198,3326703
-0.018,-0.008,1.011,0.092,-0.153,0.198,3326709
-0.017,-0.007,1.012,0.107,-0.168,0.175,3326717
-0.016,-0.007,1.011,0.084,-0.168,0.175,3326724
-0.016,-0.007,1.011,0.084,-0.168,0.175,3326730
-0.018,-0.007,1.011,0.114,-0.130,0.206,3326736
-0.017,-0.007,1.012,0.076,-0.160,0.160,3326742
-0.017,-0.007,1.012,0.076,-0.160,0.160,3326748
-0.018,-0.007,1.011,0.122,-0.130,0.183,3326754
-0.018,-0.007,1.011,0.122,-0.130,0.183,3326763
-0.017,-0.006,1.012,0.099,-0.145,0.237,3326769
-0.017,-0.007,1.012,0.107,-0.130,0.237,3326775
-0.017,-0.007,1.012,0.107,-0.130,0.237,3326781
-0.017,-0.008,1.012,0.092,-0.198,0.137,3326787
-0.017,-0.007,1.012,0.092,-0.145,0.160,3326793
-0.017,-0.007,1.012,0.092,-0.145,0.160,3326799
-0.017,-0.007,1.011,0.099,-0.183,0.168,3326806
-0.017,-0.007,1.011,0.023,-0.137,0.198,3326814
-0.017,-0.007,1.011,0.023,-0.137,0.198,3326820
-0.017,-0.007,1.011,0.099,-0.153,0.214,3326826
-0.017,-0.007,1.011,0.092,-0.114,0.214,3326832
-0.017,-0.007,1.011,0.092,-0.114,0.214,3326838
-0.018,-0.007,1.011,0.061,-0.160,0.198,3326844
-0.018,-0.007,1.011,0.061,-0.160,0.198,3326851
-0.017,-0.006,1.012,0.092,-0.145,0.252,3326859
-0.018,-0.007,1.012,0.053,-0.137,0.175,3326865
-0.018,-0.007,1.012,0.053,-0.137,0.175,3326871
-0.017,-0.008,1.011,0.069,-0.153,0.237,3326877
-0.017,-0.008,1.011,0.114,-0.145,0.175,3326883
